eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,PoA,PoS
c3a4b72a-d173-4522-b070-de01e7bba2dc,22,False,"[(89, 78)]",200,200,66,69,200,89,167,167,89,167,89,167,89,167,89,167,89,167,89,167,89,167,89,167,89,167,89,167,89,167.0,89.0,167.0,89.0,167.0,89.0,167.0,89.0,1.0,1.0
c3a4b72a-d173-4522-b070-de01e7bba2dc,22,False,"[(78, 89)]",200,200,69,66,200,78,167,167,78,167,78,167,78,167,78,167,78,167,78,167,78,167,78,167,78,167,78,167,78,167.0,78.0,167.0,78.0,167.0,78.0,167.0,78.0,1.0,1.0
2ead1e21-6c02-433c-af29-81e4e3b6a74d,1,False,"[(168, 179)]",320,364,117,150,320,159,341,347,168,347,168,347,168,347,168,347,168,347,168,347,168,347,168,347,168,347,168,347,168,347.0,168.0,347.0,168.0,347.0,168.0,347.0,168.0,1.0175953079178885,1.0175953079178885
2ead1e21-6c02-433c-af29-81e4e3b6a74d,1,False,"[(179, 168)]",364,320,150,117,364,182,341,347,179,347,179,347,179,347,179,347,179,347,179,347,179,347,179,347,179,347,179,347,179,347.0,179.0,347.0,179.0,347.0,179.0,347.0,179.0,1.0175953079178885,1.0175953079178885
4399ee98-9964-4778-815a-3333dc17e9d5,23,True,"[(88, 77), (87, 142)]",210,188,61,52,210,88,165,165,88,165,88,165,88,165,88,165,88,165,88,165,88,165,88,165,88,229,87,165,88,165.0,88.0,165.0,88.0,165.8764,87.9863,165.0,88.0,1.387878787878788,1.0
4399ee98-9964-4778-815a-3333dc17e9d5,23,True,"[(77, 88), (142, 87)]",188,210,52,61,188,77,165,165,77,165,77,165,77,165,77,165,77,165,77,165,77,165,77,165,77,229,142,165,77,165.0,77.0,165.0,77.0,165.8764,77.8901,165.0,77.0,1.387878787878788,1.0
bd9d1f26-baff-4b7c-9316-5e80d7766ddb,22,False,"[(113, 90)]",244,244,81,85,244,104,197,203,113,203,113,203,113,203,113,203,113,203,113,203,113,203,113,203,113,203,113,203,113,203.0,113.0,203.0,113.0,203.0,113.0,203.0,113.0,1.0304568527918783,1.0304568527918783
bd9d1f26-baff-4b7c-9316-5e80d7766ddb,22,False,"[(90, 113)]",244,244,85,81,244,93,197,203,90,203,90,203,90,203,90,203,90,203,90,203,90,203,90,203,90,203,90,203,90,203.0,90.0,203.0,90.0,203.0,90.0,203.0,90.0,1.0304568527918783,1.0304568527918783
537235c6-bcc3-441c-b53d-8624d0feb596,1,False,"[(75, 64), (62, 73), (78, 55)]",210,232,39,46,210,56,123,133,78,135,62,133,78,133,78,139,75,135,62,135,62,133,78,135,62,139,75,133,78,135.0,62.0,134.5833,65.33330000000001,134.03060000000005,69.75550000000001,133.0,78.0,1.1300813008130082,1.08130081300813
537235c6-bcc3-441c-b53d-8624d0feb596,1,False,"[(64, 75), (73, 62), (55, 78)]",232,210,46,39,232,67,123,133,55,135,73,133,55,133,55,139,64,135,73,135,73,133,55,135,73,139,64,133,55,135.0,73.0,134.5833,69.25,134.03060000000005,64.27510000000001,133.0,55.0,1.1300813008130082,1.08130081300813
c466d0bd-77cd-4b6b-a6dc-979fe8fe85fd,1,False,"[(91, 80), (75, 98)]",210,222,61,72,210,91,171,173,75,171,91,171,91,171,91,171,91,173,75,171,91,171,91,171,91,173,75,171,91,172.353,80.1765,171.45140000000004,87.3889,171.96640000000002,83.2688,171.0,91.0,1.0116959064327486,1.0
c466d0bd-77cd-4b6b-a6dc-979fe8fe85fd,1,False,"[(80, 91), (98, 75)]",222,210,72,61,222,80,171,173,98,171,80,171,80,171,80,171,80,173,98,171,80,171,80,171,80,173,98,171,80,172.353,92.1765,171.45140000000004,84.0625,171.96640000000002,88.6976,171.0,80.0,1.0116959064327486,1.0
70b6041a-8125-4dc4-8f8c-7cc4eb878d4c,22,False,"[(100, 89), (82, 105)]",222,210,68,64,222,85,181,187,82,189,100,187,82,187,82,189,100,189,100,189,100,187,82,189,100,187,82,187,82,189.0,100.0,188.2153,92.9375,188.01399999999998,91.12629999999999,187.0,82.0,1.0441988950276244,1.0331491712707181
70b6041a-8125-4dc4-8f8c-7cc4eb878d4c,22,False,"[(89, 100), (105, 82)]",210,222,64,68,210,96,181,187,105,189,89,187,105,187,105,189,89,189,89,189,89,187,105,189,89,187,105,187,105,189.0,89.0,188.2153,95.2778,188.01399999999998,96.8877,187.0,105.0,1.0441988950276244,1.0331491712707181
