eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,PoA,PoS
f335e7bf-2d94-47f3-a574-db579b4b8aaf,22,False,"[(248, 271)]",342,376,234,262,342,248,519,519,248,519,248,519,248,519,248,519,248,519,248,519,248,519,248,519,248,519,248,519,248,519.0,248.0,519.0,248.0,519.0,248.0,519.0,248.0,1.0,1.0
f335e7bf-2d94-47f3-a574-db579b4b8aaf,22,False,"[(271, 248)]",376,342,262,234,376,271,519,519,271,519,271,519,271,519,271,519,271,519,271,519,271,519,271,519,271,519,271,519,271,519.0,271.0,519.0,271.0,519.0,271.0,519.0,271.0,1.0,1.0
f641c04f-bd0e-4c83-95ac-8973c89fca16,1,False,"[(139, 116)]",200,188,119,116,200,130,249,255,139,255,139,255,139,255,139,255,139,255,139,255,139,255,139,255,139,255,139,255,139,255.0,139.0,255.0,139.0,255.0,139.0,255.0,139.0,1.0240963855421688,1.0240963855421688
f641c04f-bd0e-4c83-95ac-8973c89fca16,1,False,"[(116, 139)]",188,200,116,119,188,119,249,255,116,255,116,255,116,255,116,255,116,255,116,255,116,255,116,255,116,255,116,255,116,255.0,116.0,255.0,116.0,255.0,116.0,255.0,116.0,1.0240963855421688,1.0240963855421688
d4be5cc8-3bab-41c4-94e0-24d33dba5648,0,True,"[(189, 212)]",210,266,165,203,210,192,395,401,189,401,189,401,189,401,189,401,189,401,189,401,189,401,189,401,189,401,189,401,189,401.0,189.0,401.0,189.0,401.0,189.0,401.0,189.0,1.0151898734177216,1.0151898734177216
d4be5cc8-3bab-41c4-94e0-24d33dba5648,0,True,"[(212, 189)]",266,210,203,165,266,203,395,401,212,401,212,401,212,401,212,401,212,401,212,401,212,401,212,401,212,401,212,401,212,401.0,212.0,401.0,212.0,401.0,212.0,401.0,212.0,1.0151898734177216,1.0151898734177216
4ee75731-ba0a-4021-b988-a0e56013102d,23,True,"[(662, 310)]",662,310,558,256,662,662,972,972,662,972,662,972,662,972,662,972,662,972,662,972,662,972,662,972,662,972,662,972,662,972.0,662.0,972.0,662.0,972.0,662.0,972.0,662.0,1.0,1.0
4ee75731-ba0a-4021-b988-a0e56013102d,23,True,"[(310, 662)]",310,662,256,558,310,310,972,972,310,972,310,972,310,972,310,972,310,972,310,972,310,972,310,972,310,972,310,972,310,972.0,310.0,972.0,310.0,972.0,310.0,972.0,310.0,1.0,1.0
80b81485-597b-4eec-a636-e1971f5f61f4,22,False,"[(536, 437), (501, 446)]",618,540,474,414,618,501,947,973,536,947,501,947,501,947,501,947,501,947,501,947,501,947,501,947,501,973,536,947,501,947.0,501.0,960.591,519.2955,947.0,501.0,952.8776,508.9122,1.027455121436114,1.0
80b81485-597b-4eec-a636-e1971f5f61f4,22,False,"[(437, 536), (446, 501)]",540,618,414,474,540,446,947,973,437,947,446,947,446,947,446,947,446,947,446,947,446,947,446,947,446,973,437,947,446,947.0,446.0,960.591,441.2955,947.0,446.0,952.8776,443.9654,1.027455121436114,1.0
