eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,PoA,PoS
f4be7dfc-3843-4667-b3be-50897bf7061d,22,False,"[(87, 110)]",200,200,78,74,200,90,191,197,87,197,87,197,87,197,87,197,87,197,87,197,87,197,87,197,87,197,87,197,87,197.0,87.0,197.0,87.0,197.0,87.0,197.0,87.0,1.031413612565445,1.031413612565445
f4be7dfc-3843-4667-b3be-50897bf7061d,22,False,"[(110, 87)]",200,200,74,78,200,101,191,197,110,197,110,197,110,197,110,197,110,197,110,197,110,197,110,197,110,197,110,197,110,197.0,110.0,197.0,110.0,197.0,110.0,197.0,110.0,1.031413612565445,1.031413612565445
4fcbddab-0454-4227-82c1-285ba98398f1,22,False,"[(99, 110)]",266,232,89,65,266,99,209,209,99,209,99,209,99,209,99,209,99,209,99,209,99,209,99,209,99,209,99,209,99,209.0,99.0,209.0,99.0,209.0,99.0,209.0,99.0,1.0,1.0
4fcbddab-0454-4227-82c1-285ba98398f1,22,False,"[(110, 99)]",232,266,65,89,232,110,209,209,110,209,110,209,110,209,110,209,110,209,110,209,110,209,110,209,110,209,110,209,110,209.0,110.0,209.0,110.0,209.0,110.0,209.0,110.0,1.0,1.0
62f23101-b620-4d42-a79e-06a034101112,0,False,"[(95, 118), (104, 115)]",210,266,78,86,210,98,207,213,95,219,104,213,95,213,95,219,104,213,95,213,95,213,95,213,95,219,104,213,95,213.0,95.0,214.21479999999997,96.8222,213.0,95.0,213.0,95.0,1.0579710144927537,1.0289855072463767
62f23101-b620-4d42-a79e-06a034101112,0,False,"[(118, 95), (115, 104)]",266,210,86,78,266,109,207,213,118,219,115,213,118,213,118,219,115,213,118,213,118,213,118,213,118,219,115,213,118,213.0,118.0,214.21479999999997,117.39259999999999,213.0,118.0,213.0,118.0,1.0579710144927537,1.0289855072463767
fdbce52b-2028-4c24-97e9-62c6815e1326,23,True,"[(139, 128)]",232,232,114,118,232,142,261,267,139,267,139,267,139,267,139,267,139,267,139,267,139,267,139,267,139,267,139,267,139,267.0,139.0,267.0,139.0,267.0,139.0,267.0,139.0,1.0229885057471264,1.0229885057471264
fdbce52b-2028-4c24-97e9-62c6815e1326,23,True,"[(128, 139)]",232,232,118,114,232,119,261,267,128,267,128,267,128,267,128,267,128,267,128,267,128,267,128,267,128,267,128,267,128,267.0,128.0,267.0,128.0,267.0,128.0,267.0,128.0,1.0229885057471264,1.0229885057471264
9b9ed611-f6b2-4891-948a-c40b76ec1fb5,1,False,"[(234, 257)]",452,464,234,234,452,234,491,491,234,491,234,491,234,491,234,491,234,491,234,491,234,491,234,491,234,491,234,491,234,491.0,234.0,491.0,234.0,491.0,234.0,491.0,234.0,1.0,1.0
9b9ed611-f6b2-4891-948a-c40b76ec1fb5,1,False,"[(257, 234)]",464,452,234,234,464,257,491,491,257,491,257,491,257,491,257,491,257,491,257,491,257,491,257,491,257,491,257,491,257,491.0,257.0,491.0,257.0,491.0,257.0,491.0,257.0,1.0,1.0
94032355-3ee9-4bb5-ad0f-686c9679bdd7,0,False,"[(89, 78), (72, 95)]",210,256,66,64,210,72,167,167,72,167,89,167,89,167,89,167,89,167,72,167,72,167,72,167,72,167,89,167,89,167.0,72.00280000000001,167.0,79.42410000000001,167.0,72.0,167.0,72.0,1.0,1.0
94032355-3ee9-4bb5-ad0f-686c9679bdd7,0,False,"[(78, 89), (95, 72)]",256,210,64,66,256,95,167,167,95,167,78,167,78,167,78,167,78,167,95,167,95,167,95,167,95,167,78,167,78,167.0,94.99719999999999,167.0,87.57589999999999,167.0,95.0,167.0,95.0,1.0,1.0
05b2f4df-862b-44ac-a558-9813472ea007,0,False,"[(133, 288)]",254,432,119,211,254,136,415,421,133,421,133,421,133,421,133,421,133,421,133,421,133,421,133,421,133,421,133,421,133,421.0,133.0,421.0,133.0,421.0,133.0,421.0,133.0,1.0144578313253012,1.0144578313253012
05b2f4df-862b-44ac-a558-9813472ea007,0,False,"[(288, 133)]",432,254,211,119,432,279,415,421,288,421,288,421,288,421,288,421,288,421,288,421,288,421,288,421,288,421,288,421,288,421.0,288.0,421.0,288.0,421.0,288.0,421.0,288.0,1.0144578313253012,1.0144578313253012
