eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,PoA,PoS
e2be026b-15b4-4859-b913-6db9a795598f,1,True,"[(80, 103), (88, 77), (84, 95)]",309,321,65,77,309,88,165,165,88,165,88,165,88,165,88,165,88,179,84,165,88,165,88,165,88,183,80,165,88,169.44420000000002,86.0248,177.1764,82.5882,165.0,88.0,165.0,88.0,1.1090909090909091,1.0
e2be026b-15b4-4859-b913-6db9a795598f,1,True,"[(103, 80), (77, 88), (95, 84)]",321,309,77,65,321,77,165,165,77,165,77,165,77,165,77,165,77,179,95,165,77,165,77,165,77,183,103,165,77,169.44420000000002,83.4194,177.1764,94.5882,165.0,77.0,165.0,77.0,1.1090909090909091,1.0
a8db52b4-f847-46a6-8a77-35ee710959d0,22,False,"[(90, 79)]",299,299,74,70,299,90,169,169,90,169,90,169,90,169,90,169,90,169,90,169,90,169,90,169,90,169,90,169,90,169.0,90.0,169.0,90.0,169.0,90.0,169.0,90.0,1.0,1.0
a8db52b4-f847-46a6-8a77-35ee710959d0,22,False,"[(79, 90)]",299,299,70,74,299,79,169,169,79,169,79,169,79,169,79,169,79,169,79,169,79,169,79,169,79,169,79,169,79,169.0,79.0,169.0,79.0,169.0,79.0,169.0,79.0,1.0,1.0
9c037392-c8c8-46b7-bf7b-174f68a45619,0,False,"[(104, 81)]",289,243,77,67,289,95,179,185,104,185,104,185,104,185,104,185,104,185,104,185,104,185,104,185,104,185,104,185,104,185.0,104.0,185.0,104.0,185.0,104.0,185.0,104.0,1.0335195530726258,1.0335195530726258
9c037392-c8c8-46b7-bf7b-174f68a45619,0,False,"[(81, 104)]",243,289,67,77,243,84,179,185,81,185,81,185,81,185,81,185,81,185,81,185,81,185,81,185,81,185,81,185,81,185.0,81.0,185.0,81.0,185.0,81.0,185.0,81.0,1.0335195530726258,1.0335195530726258
46e3b082-1df4-4025-bed8-19b91534678f,23,False,"[(265, 288), (277, 254)]",463,375,202,168,463,277,531,531,277,531,277,531,277,531,277,553,265,531,277,531,277,531,277,531,277,553,265,531,277,534.9033,274.871,531.0,277.0,531.0,277.0,531.0,277.0,1.0414312617702448,1.0
46e3b082-1df4-4025-bed8-19b91534678f,23,False,"[(288, 265), (254, 277)]",375,463,168,202,375,254,531,531,254,531,254,531,254,531,254,553,288,531,254,531,254,531,254,531,254,553,288,531,254,534.9033,260.0323,531.0,254.0,531.0,254.0,531.0,254.0,1.0414312617702448,1.0
94c366c4-e8b5-4238-8842-b5154c9d642c,0,False,"[(86, 75)]",289,243,75,58,289,86,161,161,86,161,86,161,86,161,86,161,86,161,86,161,86,161,86,161,86,161,86,161,86,161.0,86.0,161.0,86.0,161.0,86.0,161.0,86.0,1.0,1.0
94c366c4-e8b5-4238-8842-b5154c9d642c,0,False,"[(75, 86)]",243,289,58,75,243,75,161,161,75,161,75,161,75,161,75,161,75,161,75,161,75,161,75,161,75,161,75,161,75,161.0,75.0,161.0,75.0,161.0,75.0,161.0,75.0,1.0,1.0
