eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,PoA,PoS
ca34b33e-520b-4ac1-8231-4bfad0c70ac4,22,False,"[(57, 80)]",211,211,48,48,211,60,131,137,57,137,57,137,57,137,57,137,57,137,57,137,57,137,57,137,57,137,57,137,57,137.0,57.0,137.0,57.0,137.0,57.0,137.0,57.0,1.0458015267175573,1.0458015267175573
987bd105-4dc7-42f6-96d8-a93a2cfa812a,22,False,"[(60, 49), (47, 58)]",145,133,38,38,145,47,105,105,47,105,47,105,47,105,47,109,60,109,60,109,60,105,47,105,47,109,60,105,47,105.00280000000001,47.00920000000001,109.0,60.0,106.78719999999998,52.808499999999995,105.0,47.0,1.0380952380952382,1.0
987bd105-4dc7-42f6-96d8-a93a2cfa812a,22,False,"[(49, 60), (58, 47)]",133,145,38,38,133,58,105,105,58,105,58,105,58,105,58,109,49,109,49,109,49,105,58,105,58,109,49,105,58,105.00280000000001,57.9936,109.0,49.0,106.78719999999998,53.9787,105.0,58.0,1.0380952380952382,1.0
8cf8e0b5-764c-442e-851f-00a5586bd616,1,False,"[(92, 69), (83, 106)]",189,177,63,60,189,83,155,161,92,161,92,161,92,161,92,161,92,161,92,161,92,161,92,161,92,189,83,161,92,161.0,92.0,167.6956,89.8478,166.5611,90.2125,161.0,92.0,1.2193548387096773,1.038709677419355
8cf8e0b5-764c-442e-851f-00a5586bd616,1,False,"[(69, 92), (106, 83)]",177,189,60,63,177,72,155,161,69,161,69,161,69,161,69,161,69,161,69,161,69,161,69,161,69,189,106,161,69,161.0,69.0,167.6956,77.8478,166.5611,76.3486,161.0,69.0,1.2193548387096773,1.038709677419355
e59bc2ef-d0ea-493e-a7b4-45f3b9d98234,22,True,"[(121, 98)]",199,155,67,38,199,112,213,219,121,219,121,219,121,219,121,219,121,219,121,219,121,219,121,219,121,219,121,219,121,219.0,121.0,219.0,121.0,219.0,121.0,219.0,121.0,1.028169014084507,1.028169014084507
e59bc2ef-d0ea-493e-a7b4-45f3b9d98234,22,True,"[(98, 121)]",155,199,38,67,155,101,213,219,98,219,98,219,98,219,98,219,98,219,98,219,98,219,98,219,98,219,98,219,98,219.0,98.0,219.0,98.0,219.0,98.0,219.0,98.0,1.028169014084507,1.028169014084507
9291b959-507e-47ea-be92-ccc73408f295,11,False,"[(84, 95)]",287,309,71,84,287,84,179,179,84,179,84,179,84,179,84,179,84,179,84,179,84,179,84,179,84,179,84,179,84,179.0,84.0,179.0,84.0,179.0,84.0,179.0,84.0,1.0,1.0
9291b959-507e-47ea-be92-ccc73408f295,11,False,"[(95, 84)]",309,287,84,71,309,95,179,179,95,179,95,179,95,179,95,179,95,179,95,179,95,179,95,179,95,179,95,179,95,179.0,95.0,179.0,95.0,179.0,95.0,179.0,95.0,1.0,1.0
a44bb181-631a-40eb-88ef-5b60b569739a,0,False,"[(105, 94), (78, 101)]",155,201,55,78,155,78,179,179,78,179,78,179,78,179,78,199,105,179,78,179,78,179,78,179,78,199,105,179,78,179.0,78.0,179.0,78.0,182.1447,82.2453,179.0,78.0,1.111731843575419,1.0
