eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Egalitarian,Individual Time In Egalitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,Nash,Individual Time In Nash,PoA,PoS
a4756400-365c-4e19-acf9-e81aa213d3c1,11,True,"[(40, 29), (43, 20)]",57,45,13,9,57,22,55,63,43,69,40,63,43,63,43,69,40,69,40,69,40,63,43,63,43,69,40,63,43,68.5,40.25,64.97370000000001,42.0132,63.0,43.0,63.0,43.0,1.2545454545454546,1.1454545454545455
227c012e-d61d-4fc7-878b-71a53ad175bd,22,True,"[(56, 33)]",57,57,21,22,57,47,83,89,56,89,56,89,56,89,56,89,56,89,56,89,56,89,56,89,56,89,56,89,56,89.0,56.0,89.0,56.0,89.0,56.0,89.0,56.0,1.072289156626506,1.072289156626506
227c012e-d61d-4fc7-878b-71a53ad175bd,22,True,"[(33, 56)]",57,57,22,21,57,36,83,89,33,89,33,89,33,89,33,89,33,89,33,89,33,89,33,89,33,89,33,89,33,89.0,33.0,89.0,33.0,89.0,33.0,89.0,33.0,1.072289156626506,1.072289156626506
a39a9da8-8732-491e-9da1-0682b1f10753,33,True,"[(42, 141)]",67,155,22,29,67,42,183,183,42,183,42,183,42,183,42,183,42,183,42,183,42,183,42,183,42,183,42,183,42,183.0,42.0,183.0,42.0,183.0,42.0,183.0,42.0,1.0,1.0
a39a9da8-8732-491e-9da1-0682b1f10753,33,True,"[(141, 42)]",155,67,29,22,155,141,183,183,141,183,141,183,141,183,141,183,141,183,141,183,141,183,141,183,141,183,141,183,141,183.0,141.0,183.0,141.0,183.0,141.0,183.0,141.0,1.0,1.0
9b7c1b35-660b-4cc8-af29-212d9a046fce,11,True,"[(67, 101)]",67,101,22,38,67,58,161,168,67,168,67,168,67,168,67,168,67,168,67,168,67,168,67,168,67,168,67,168,67,168.0,67.0,168.0,67.0,168.0,67.0,168.0,67.0,1.0434782608695652,1.0434782608695652
9b7c1b35-660b-4cc8-af29-212d9a046fce,11,True,"[(101, 67)]",101,67,38,22,101,103,161,168,101,168,101,168,101,168,101,168,101,168,101,168,101,168,101,168,101,168,101,168,101,168.0,101.0,168.0,101.0,168.0,101.0,168.0,101.0,1.0434782608695652,1.0434782608695652
2b39a1e0-1b30-4c20-a538-9c15ef361a47,44,True,"[(57, 45)]",57,45,17,9,57,57,102,102,57,102,57,102,57,102,57,102,57,102,57,102,57,102,57,102,57,102,57,102,57,102.0,57.0,102.0,57.0,102.0,57.0,102.0,57.0,1.0,1.0
2b39a1e0-1b30-4c20-a538-9c15ef361a47,44,True,"[(45, 57)]",45,57,9,17,45,45,102,102,45,102,45,102,45,102,45,102,45,102,45,102,45,102,45,102,45,102,45,102,45,102.0,45.0,102.0,45.0,102.0,45.0,102.0,45.0,1.0,1.0
f066d94d-39af-4268-8787-a4e0021baebd,23,True,"[(20, 31)]",45,45,9,22,45,20,51,51,20,51,20,51,20,51,20,51,20,51,20,51,20,51,20,51,20,51,20,51,20,51.0,20.0,51.0,20.0,51.0,20.0,51.0,20.0,1.0,1.0
f066d94d-39af-4268-8787-a4e0021baebd,23,True,"[(31, 20)]",45,45,22,9,45,31,51,51,31,51,31,51,31,51,31,51,31,51,31,51,31,51,31,51,31,51,31,51,31,51.0,31.0,51.0,31.0,51.0,31.0,51.0,31.0,1.0,1.0
93b4e65b-096a-4e67-9c24-781ea6c793e3,1,False,"[(29, 40)]",45,79,9,20,45,29,69,69,29,69,29,69,29,69,29,69,29,69,29,69,29,69,29,69,29,69,29,69,29,69.0,29.0,69.0,29.0,69.0,29.0,69.0,29.0,1.0,1.0
93b4e65b-096a-4e67-9c24-781ea6c793e3,1,False,"[(40, 29)]",79,45,20,9,79,40,69,69,40,69,40,69,40,69,40,69,40,69,40,69,40,69,40,69,40,69,40,69,40,69.0,40.0,69.0,40.0,69.0,40.0,69.0,40.0,1.0,1.0
7c495248-b990-46cc-98a6-c8188348bc34,13,True,"[(35, 57)]",35,57,8,12,35,20,73,92,35,92,35,92,35,92,35,92,35,92,35,92,35,92,35,92,35,92,35,92,35,92.0,35.0,92.0,35.0,92.0,35.0,92.0,35.0,1.2602739726027397,1.2602739726027397
7c495248-b990-46cc-98a6-c8188348bc34,13,True,"[(57, 35)]",57,35,12,8,57,53,73,92,57,92,57,92,57,92,57,92,57,92,57,92,57,92,57,92,57,92,57,92,57,92.0,57.0,92.0,57.0,92.0,57.0,92.0,57.0,1.2602739726027397,1.2602739726027397
e7115f3c-43a8-4c9d-9e69-178492472099,11,True,"[(167, 123)]",167,123,89,65,167,158,283,290,167,290,167,290,167,290,167,290,167,290,167,290,167,290,167,290,167,290,167,290,167,290.0,167.0,290.0,167.0,290.0,167.0,290.0,167.0,1.0247349823321554,1.0247349823321554
e7115f3c-43a8-4c9d-9e69-178492472099,11,True,"[(123, 167)]",123,167,65,89,123,125,283,290,123,290,123,290,123,290,123,290,123,290,123,290,123,290,123,290,123,290,123,290,123,290.0,123.0,290.0,123.0,290.0,123.0,290.0,123.0,1.0247349823321554,1.0247349823321554
e146e1e4-7657-45bf-86e9-77cf83cc8d23,12,True,"[(27, 38), (23, 46)]",45,89,9,19,45,26,63,69,23,65,27,65,27,65,27,65,27,69,23,69,23,65,27,69,23,65,27,65,27,69.0,23.0,67.1473,24.8526,65.0,27.0,68.7495,23.2504,1.0952380952380953,1.0317460317460319
e146e1e4-7657-45bf-86e9-77cf83cc8d23,12,True,"[(38, 27), (46, 23)]",89,45,19,9,89,37,63,69,46,65,38,65,38,65,38,65,38,69,46,69,46,65,38,69,46,65,38,65,38,69.0,46.0,67.1473,42.2947,65.0,38.0,68.7495,45.4991,1.0952380952380953,1.0317460317460319
