eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,PoA,PoS
f53a5a95-2760-4a9a-a38e-8b4edadf41a4,0,False,"[(126, 115)]",311,265,108,101,311,126,241,241,126,241,126,241,126,241,126,241,126,241,126,241,126,241,126,241,126,241,126,241,126,241.0,126.0,241.0,126.0,241.0,126.0,241.0,126.0,1.0,1.0
f53a5a95-2760-4a9a-a38e-8b4edadf41a4,0,False,"[(115, 126)]",265,311,101,108,265,115,241,241,115,241,115,241,115,241,115,241,115,241,115,241,115,241,115,241,115,241,115,241,115,241.0,115.0,241.0,115.0,241.0,115.0,241.0,115.0,1.0,1.0
7cb2338f-7adf-4cc4-a69a-6c5a4b6812ee,22,False,"[(102, 79), (73, 84)]",265,299,62,69,265,73,157,157,73,157,73,157,73,157,73,157,73,157,73,157,73,157,73,157,73,181,102,157,73,157.0,73.0,157.0,73.0,160.13890000000004,76.7929,157.0,73.0,1.1528662420382165,1.0
7cb2338f-7adf-4cc4-a69a-6c5a4b6812ee,22,False,"[(79, 102), (84, 73)]",299,265,69,62,299,84,157,157,84,157,84,157,84,157,84,157,84,157,84,157,84,157,84,157,84,181,79,157,84,157.0,84.0,157.0,84.0,160.13890000000004,83.346,157.0,84.0,1.1528662420382165,1.0
3f9b423a-10f0-4739-8fc7-d8c7f4bcac8a,11,False,"[(127, 116), (90, 123), (86, 131)]",331,309,77,78,331,89,211,217,86,213,90,213,90,213,90,243,127,243,127,243,127,213,90,213,90,243,127,213,90,213.0,90.0,243.0,127.0,216.19439999999997,93.93979999999999,213.00009999999997,90.0,1.1516587677725119,1.009478672985782
3f9b423a-10f0-4739-8fc7-d8c7f4bcac8a,11,False,"[(116, 127), (123, 90), (131, 86)]",309,331,78,77,309,122,211,217,131,213,123,213,123,213,123,243,116,243,116,243,116,213,123,213,123,243,116,213,123,213.0,123.0,243.0,116.0,216.19439999999997,122.25460000000001,213.00009999999997,123.0001,1.1516587677725119,1.009478672985782
76eb3352-7044-4587-87ca-93d18532c161,22,False,"[(80, 69), (88, 65), (76, 87)]",255,255,56,65,255,79,147,153,88,149,80,149,80,149,80,149,80,149,80,149,80,149,80,149,80,163,76,149,80,149.0,80.0,156.0,78.0,149.15470000000005,79.95580000000001,149.0,80.0,1.1088435374149659,1.0136054421768708
76eb3352-7044-4587-87ca-93d18532c161,22,False,"[(69, 80), (65, 88), (87, 76)]",255,255,65,56,255,68,147,153,65,149,69,149,69,149,69,149,69,149,69,149,69,149,69,149,69,163,87,149,69,149.0,69.0,156.0,78.0,149.15470000000005,69.19890000000001,149.0,69.0,1.1088435374149659,1.0136054421768708
86e746fe-fb32-42dc-b686-6b488bd17933,22,False,"[(80, 57), (63, 74)]",255,255,48,48,255,71,131,137,80,137,63,137,80,137,80,137,63,137,63,137,63,137,80,137,63,137,80,137,80,137.0,63.0,137.0,68.5,137.0,71.3692,137.0,68.5,1.0458015267175573,1.0458015267175573
86e746fe-fb32-42dc-b686-6b488bd17933,22,False,"[(57, 80), (74, 63)]",255,255,48,48,255,60,131,137,57,137,74,137,57,137,57,137,74,137,74,137,74,137,57,137,74,137,57,137,57,137.0,74.0,137.0,68.5,137.0,65.6308,137.0,68.5,1.0458015267175573,1.0458015267175573
3cfb4f9c-3176-46bf-ab8c-dbfea571ce26,187,True,"[(441, 463)]",441,463,130,148,441,441,904,904,441,904,441,904,441,904,441,904,441,904,441,904,441,904,441,904,441,904,441,904,441,904.0,441.0,904.0,441.0,904.0,441.0,904.0,441.0,1.0,1.0
3cfb4f9c-3176-46bf-ab8c-dbfea571ce26,187,True,"[(463, 441)]",463,441,148,130,463,463,904,904,463,904,463,904,463,904,463,904,463,904,463,904,463,904,463,904,463,904,463,904,463,904.0,463.0,904.0,463.0,904.0,463.0,904.0,463.0,1.0,1.0
dd6a9ee4-3485-427d-b275-0cb70d188ba2,11,False,"[(103, 92), (112, 89)]",265,243,83,78,265,103,195,201,112,195,103,195,103,195,103,195,103,201,112,195,103,195,103,195,103,201,112,195,103,195.0,103.0,200.5,111.25,196.5577,105.3365,195.0,103.0,1.0307692307692307,1.0
dd6a9ee4-3485-427d-b275-0cb70d188ba2,11,False,"[(92, 103), (89, 112)]",243,265,78,83,243,92,195,201,89,195,92,195,92,195,92,195,92,201,89,195,92,195,92,195,92,201,89,195,92,195.0,92.0,200.5,89.25,196.5577,91.22120000000001,195.0,92.0,1.0307692307692307,1.0
e819d800-0f00-483d-ba08-8761d9e47048,22,False,"[(103, 80), (100, 89), (96, 107), (87, 110)]",299,299,78,66,299,103,183,183,103,189,100,183,103,183,103,189,100,189,100,189,100,183,103,183,103,203,96,183,103,183.0,103.0,190.0,95.0,187.97320000000002,97.31630000000001,183.0,103.0,1.1092896174863387,1.0
e819d800-0f00-483d-ba08-8761d9e47048,22,False,"[(80, 103), (89, 100), (107, 96), (110, 87)]",299,299,66,78,299,80,183,183,80,189,89,183,80,183,80,189,89,189,89,189,89,183,80,183,80,203,107,183,80,183.0,80.0,190.0,95.0,187.97320000000002,90.65690000000001,183.0,80.0,1.1092896174863387,1.0
6fca869e-80ec-457a-a968-8cae7c3aefd3,0,False,"[(108, 131)]",265,311,94,105,265,111,233,239,108,239,108,239,108,239,108,239,108,239,108,239,108,239,108,239,108,239,108,239,108,239.0,108.0,239.0,108.0,239.0,108.0,239.0,108.0,1.0257510729613735,1.0257510729613735
6fca869e-80ec-457a-a968-8cae7c3aefd3,0,False,"[(131, 108)]",311,265,105,94,311,122,233,239,131,239,131,239,131,239,131,239,131,239,131,239,131,239,131,239,131,239,131,239,131,239.0,131.0,239.0,131.0,239.0,131.0,239.0,131.0,1.0257510729613735,1.0257510729613735
063ef248-a8a6-4c4f-b080-00efc9ec8df5,0,False,"[(181, 158), (141, 164)]",397,431,132,132,397,144,299,305,141,305,141,305,141,305,141,339,181,305,141,305,141,305,141,305,141,339,181,305,141,305.0,141.0,305.0,141.0,309.19270000000006,145.9326,305.0,141.0,1.1337792642140467,1.020066889632107
063ef248-a8a6-4c4f-b080-00efc9ec8df5,0,False,"[(158, 181), (164, 141)]",431,397,132,132,431,155,299,305,164,305,164,305,164,305,164,339,158,305,164,305,164,305,164,305,164,339,158,305,164,305.0,164.0,305.0,164.0,309.19270000000006,163.26010000000002,305.0,164.0,1.1337792642140467,1.020066889632107
bbc243b4-ee63-48b9-b895-82d2c7ba7478,23,False,"[(164, 175), (173, 162), (181, 158)]",343,353,95,135,343,172,333,339,181,335,173,335,173,335,173,339,164,339,164,339,164,335,173,335,173,339,181,335,173,335.0,173.0,338.8182,164.4091,336.0181,170.7092,335.0,173.0,1.018018018018018,1.006006006006006
bbc243b4-ee63-48b9-b895-82d2c7ba7478,23,False,"[(175, 164), (162, 173), (158, 181)]",353,343,135,95,353,161,333,339,158,335,162,335,162,335,162,339,175,339,175,339,175,335,162,335,162,339,158,335,162,335.0,162.0,338.8182,174.4091,336.0181,165.3089,335.0,162.0,1.018018018018018,1.006006006006006
