eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,PoA,PoS
5f058a89-f981-4970-af14-f4c243307e46,34,False,"[(177, 243)]",210,320,92,121,210,177,420,420,177,420,177,420,177,420,177,420,177,420,177,420,177,420,177,420,177,420,177,420,177,420.0,177.0,420.0,177.0,420.0,177.0,420.0,177.0,1.0,1.0
5f058a89-f981-4970-af14-f4c243307e46,34,False,"[(243, 177)]",320,210,121,92,320,243,420,420,243,420,243,420,243,420,243,420,243,420,243,420,243,420,243,420,243,420,243,420,243,420.0,243.0,420.0,243.0,420.0,243.0,420.0,243.0,1.0,1.0
cc9b55fe-06aa-4bd3-9558-a62648fb2576,210,True,"[(210, 738)]",210,738,84,222,210,210,948,948,210,948,210,948,210,948,210,948,210,948,210,948,210,948,210,948,210,948,210,948,210,948.0,210.0,948.0,210.0,948.0,210.0,948.0,210.0,1.0,1.0
cc9b55fe-06aa-4bd3-9558-a62648fb2576,210,True,"[(738, 210)]",738,210,222,84,738,738,948,948,738,948,738,948,738,948,738,948,738,948,738,948,738,948,738,948,738,948,738,948,738,948.0,738.0,948.0,738.0,948.0,738.0,948.0,738.0,1.0,1.0
cc20f5e4-9304-42ee-9b3d-5ed316347c8e,0,True,"[(92, 158), (63, 163)]",100,244,23,47,100,66,220,226,63,250,92,226,63,226,63,250,92,226,63,226,63,226,63,226,63,250,92,226,63,227.65730000000002,65.0026,226.0,63.0,226.0,63.0,226.0,63.0,1.1363636363636365,1.0272727272727273
cc20f5e4-9304-42ee-9b3d-5ed316347c8e,0,True,"[(158, 92), (163, 63)]",244,100,47,23,244,154,220,226,163,250,158,226,163,226,163,250,158,226,163,226,163,226,163,226,163,250,158,226,163,227.65730000000002,162.6547,226.0,163.0,226.0,163.0,226.0,163.0,1.1363636363636365,1.0272727272727273
5eac617e-594c-4fab-869d-a4e7dbfa45d5,110,True,"[(100, 144)]",100,144,45,27,100,100,244,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244.0,100.0,244.0,100.0,244.0,100.0,244.0,100.0,1.0,1.0
5eac617e-594c-4fab-869d-a4e7dbfa45d5,110,True,"[(144, 100)]",144,100,27,45,144,144,244,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244.0,144.0,244.0,144.0,244.0,144.0,244.0,144.0,1.0,1.0
3837fabf-9abb-4486-8c6d-2245e258201e,89,True,"[(90, 156), (81, 169)]",100,188,23,57,100,72,232,250,81,246,90,246,90,246,90,246,90,250,81,250,81,250,81,250,81,246,90,246,90,248.1532,85.1551,248.7009,83.9231,250.0,81.0,246.0,90.0,1.0775862068965518,1.0603448275862069
3837fabf-9abb-4486-8c6d-2245e258201e,89,True,"[(156, 90), (169, 81)]",188,100,57,23,188,160,232,250,169,246,156,246,156,246,156,246,156,250,169,250,169,250,169,250,169,246,156,246,156,248.1532,162.9981,248.7009,164.7778,250.0,169.0,246.0,156.0,1.0775862068965518,1.0603448275862069
