eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,PoA,PoS
f71b2ba0-aa97-48e3-b0aa-248cddbae2c1,133,True,"[(100, 144)]",100,144,28,57,100,100,244,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244.0,100.0,244.0,100.0,244.0,100.0,244.0,100.0,1.0,1.0
db93ef97-06be-4760-963e-86ef854d38ac,34,True,"[(96, 229)]",100,232,28,76,100,99,319,325,96,325,96,325,96,325,96,325,96,325,96,325,96,325,96,325,96,325,96,325,96,325.0,96.0,325.0,96.0,325.0,96.0,325.0,96.0,1.0188087774294672,1.0188087774294672
db93ef97-06be-4760-963e-86ef854d38ac,34,True,"[(229, 96)]",232,100,76,28,232,220,319,325,229,325,229,325,229,325,229,325,229,325,229,325,229,325,229,325,229,325,229,325,229,325.0,229.0,325.0,229.0,325.0,229.0,325.0,229.0,1.0188087774294672,1.0188087774294672
b865b3bd-0e11-4104-891c-dbd1e7b6dc80,133,True,"[(100, 254)]",100,254,28,59,100,135,325,354,100,354,100,354,100,354,100,354,100,354,100,354,100,354,100,354,100,354,100,354,100,354.0,100.0,354.0,100.0,354.0,100.0,354.0,100.0,1.0892307692307692,1.0892307692307692
b865b3bd-0e11-4104-891c-dbd1e7b6dc80,133,True,"[(254, 100)]",254,100,59,28,254,190,325,354,254,354,254,354,254,354,254,354,254,354,254,354,254,354,254,354,254,354,254,354,254,354.0,254.0,354.0,254.0,354.0,254.0,354.0,254.0,1.0892307692307692,1.0892307692307692
54f9633c-9fc4-4821-a965-758a3aa78613,419,True,"[(188, 650)]",188,650,48,200,188,188,838,838,188,838,188,838,188,838,188,838,188,838,188,838,188,838,188,838,188,838,188,838,188,838.0,188.0,838.0,188.0,838.0,188.0,838.0,188.0,1.0,1.0
54f9633c-9fc4-4821-a965-758a3aa78613,419,True,"[(650, 188)]",650,188,200,48,650,650,838,838,650,838,650,838,650,838,650,838,650,838,650,838,650,838,650,838,650,838,650,838,650,838.0,650.0,838.0,650.0,838.0,650.0,838.0,650.0,1.0,1.0
cd3104ce-4fbd-4df2-8935-7fade55ef9f7,143,True,"[(100, 144)]",100,144,28,45,100,100,244,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244.0,100.0,244.0,100.0,244.0,100.0,244.0,100.0,1.0,1.0
cd3104ce-4fbd-4df2-8935-7fade55ef9f7,143,True,"[(144, 100)]",144,100,45,28,144,144,244,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244.0,144.0,244.0,144.0,244.0,144.0,244.0,144.0,1.0,1.0
86b7bb6e-d990-4f9d-a51d-4f24d9f64ab0,122,True,"[(100, 166)]",100,166,19,40,100,100,266,266,100,266,100,266,100,266,100,266,100,266,100,266,100,266,100,266,100,266,100,266,100,266.0,100.0,266.0,100.0,266.0,100.0,266.0,100.0,1.0,1.0
86b7bb6e-d990-4f9d-a51d-4f24d9f64ab0,122,True,"[(166, 100)]",166,100,40,19,166,166,266,266,166,266,166,266,166,266,166,266,166,266,166,266,166,266,166,266,166,266,166,266,166,266.0,166.0,266.0,166.0,266.0,166.0,266.0,166.0,1.0,1.0
cda2b068-d667-4700-8d64-9add7d67d8d0,121,True,"[(100, 56)]",100,56,32,11,100,100,156,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156.0,100.0,156.0,100.0,156.0,100.0,156.0,100.0,1.0,1.0
cda2b068-d667-4700-8d64-9add7d67d8d0,121,True,"[(56, 100)]",56,100,11,32,56,56,156,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156.0,56.0,156.0,56.0,156.0,56.0,156.0,56.0,1.0,1.0
