eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,PoA,PoS
05ef1327-265e-40da-b496-54f65ce6ebcb,34,True,"[(188, 122)]",188,122,66,27,188,188,310,310,188,310,188,310,188,310,188,310,188,310,188,310,188,310,188,310,188,310,188,310,188,310.0,188.0,310.0,188.0,310.0,188.0,310.0,188.0,1.0,1.0
05ef1327-265e-40da-b496-54f65ce6ebcb,34,True,"[(122, 188)]",122,188,27,66,122,122,310,310,122,310,122,310,122,310,122,310,122,310,122,310,122,310,122,310,122,310,122,310,122,310.0,122.0,310.0,122.0,310.0,122.0,310.0,122.0,1.0,1.0
7a63f676-4a55-4a36-b3ae-08f0db365da8,23,False,"[(62, 40), (54, 76)]",100,112,22,22,100,56,90,102,62,102,62,102,62,102,62,102,62,102,62,102,62,102,62,102,62,130,54,102,62,109.22579999999999,59.9355,102.0,62.0,102.0,62.0,123.6364,55.8182,1.4444444444444444,1.1333333333333333
7a63f676-4a55-4a36-b3ae-08f0db365da8,23,False,"[(40, 62), (76, 54)]",112,100,22,22,112,34,90,102,40,102,40,102,40,102,40,102,40,102,40,102,40,102,40,102,40,130,76,102,40,109.22579999999999,49.2903,102.0,40.0,102.0,40.0,123.6364,67.81819999999999,1.4444444444444444,1.1333333333333333
bf67dbbb-8b20-4aab-9430-6aa027768ebb,33,False,"[(74, 130), (148, 104)]",200,222,65,70,200,77,198,204,74,204,74,204,74,204,74,252,148,204,74,204,74,204,74,204,74,252,148,204,74,217.0952,94.1885,204.0,74.0,204.0,74.0,220.32,99.16,1.2727272727272727,1.0303030303030303
bf67dbbb-8b20-4aab-9430-6aa027768ebb,33,False,"[(130, 74), (104, 148)]",222,200,70,65,222,121,198,204,130,204,130,204,130,204,130,252,104,204,130,204,130,204,130,204,130,252,104,204,130,217.0952,122.9067,204.0,130.0,204.0,130.0,220.32,121.16,1.2727272727272727,1.0303030303030303
18fc51f3-1ba7-49d8-9f40-e7eb60f82347,33,False,"[(54, 54), (45, 67)]",90,78,36,41,90,54,108,112,45,108,54,108,54,108,54,108,54,108,54,108,54,108,54,108,54,112,45,108,54,109.0786,51.573,108.0,54.0,108.0,54.0,108.0,54.0,1.037037037037037,1.0
18fc51f3-1ba7-49d8-9f40-e7eb60f82347,33,False,"[(54, 54), (67, 45)]",78,90,41,36,78,54,108,112,67,108,54,108,54,108,54,108,54,108,54,108,54,108,54,108,54,112,67,108,54,109.0786,57.5056,108.0,54.0,108.0,54.0,108.0,54.0,1.037037037037037,1.0
ed186d9c-4efb-4725-b19a-f5b1dfa9b426,44,True,"[(882, 628)]",882,628,291,175,882,891,1474,1510,882,1510,882,1510,882,1510,882,1510,882,1510,882,1510,882,1510,882,1510,882,1510,882,1510,882,1510.0,882.0,1510.0,882.0,1510.0,882.0,1510.0,882.0,1.0244233378561738,1.0244233378561738
ed186d9c-4efb-4725-b19a-f5b1dfa9b426,44,True,"[(628, 882)]",628,882,175,291,628,583,1474,1510,628,1510,628,1510,628,1510,628,1510,628,1510,628,1510,628,1510,628,1510,628,1510,628,1510,628,1510.0,628.0,1510.0,628.0,1510.0,628.0,1510.0,628.0,1.0244233378561738,1.0244233378561738
