eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,PoA,PoS
ccdf041c-6862-4bd9-ba98-11bd3a999efe,0,False,"[(75, 131)]",144,244,40,69,144,75,206,206,75,206,75,206,75,206,75,206,75,206,75,206,75,206,75,206,75,206,75,206,75,206.0,75.0,206.0,75.0,206.0,75.0,206.0,75.0,1.0,1.0
ccdf041c-6862-4bd9-ba98-11bd3a999efe,0,False,"[(131, 75)]",244,144,69,40,244,131,206,206,131,206,131,206,131,206,131,206,131,206,131,206,131,206,131,206,131,206,131,206,131,206.0,131.0,206.0,131.0,206.0,131.0,206.0,131.0,1.0,1.0
c1c240c4-0462-490d-aad7-6aed9b3aad49,11,True,"[(144, 34)]",144,34,45,16,144,108,150,178,144,178,144,178,144,178,144,178,144,178,144,178,144,178,144,178,144,178,144,178,144,178.0,144.0,178.0,144.0,178.0,144.0,178.0,144.0,1.1866666666666668,1.1866666666666668
c1c240c4-0462-490d-aad7-6aed9b3aad49,11,True,"[(34, 144)]",34,144,16,45,34,42,150,178,34,178,34,178,34,178,34,178,34,178,34,178,34,178,34,178,34,178,34,178,34,178.0,34.0,178.0,34.0,178.0,34.0,178.0,34.0,1.1866666666666668,1.1866666666666668
303e9360-134e-4e8e-970e-197885309333,0,False,"[(90, 112)]",144,166,67,76,135,90,202,202,90,202,90,202,90,202,90,202,90,202,90,202,90,202,90,202,90,202,90,202,90,202.0,90.0,202.0,90.0,202.0,90.0,202.0,90.0,1.0,1.0
303e9360-134e-4e8e-970e-197885309333,0,False,"[(112, 90)]",166,144,76,67,157,112,202,202,112,202,112,202,112,202,112,202,112,202,112,202,112,202,112,202,112,202,112,202,112,202.0,112.0,202.0,112.0,202.0,112.0,202.0,112.0,1.0,1.0
87257d5f-d038-446f-9cf0-24ff858049fa,22,True,"[(122, 100)]",122,100,45,37,122,99,220,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222.0,122.0,222.0,122.0,222.0,122.0,222.0,122.0,1.009090909090909,1.009090909090909
87257d5f-d038-446f-9cf0-24ff858049fa,22,True,"[(100, 122)]",100,122,37,45,100,121,220,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222.0,100.0,222.0,100.0,222.0,100.0,222.0,100.0,1.009090909090909,1.009090909090909
578d472c-4f8e-4f6b-bbc5-e4b9f63a2354,1,False,"[(76, 164)]",122,254,50,83,122,76,240,240,76,240,76,240,76,240,76,240,76,240,76,240,76,240,76,240,76,240,76,240,76,240.0,76.0,240.0,76.0,240.0,76.0,240.0,76.0,1.0,1.0
578d472c-4f8e-4f6b-bbc5-e4b9f63a2354,1,False,"[(164, 76)]",254,122,83,50,254,164,240,240,164,240,164,240,164,240,164,240,164,240,164,240,164,240,164,240,164,240,164,240,164,240.0,164.0,240.0,164.0,240.0,164.0,240.0,164.0,1.0,1.0
