eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,PoA,PoS
8c609ed5-53d8-41de-bb1d-18ab274b6968,44,True,"[(100, 34)]",100,34,42,7,100,100,134,134,100,134,100,134,100,134,100,134,100,134,100,134,100,134,100,134,100,134,100,134,100,134.0,100.0,134.0,100.0,134.0,100.0,134.0,100.0,1.0,1.0
8c609ed5-53d8-41de-bb1d-18ab274b6968,44,True,"[(34, 100)]",34,100,7,42,34,34,134,134,34,134,34,134,34,134,34,134,34,134,34,134,34,134,34,134,34,134,34,134,34,134.0,34.0,134.0,34.0,134.0,34.0,134.0,34.0,1.0,1.0
1a6cdad3-1198-4caf-82b7-8e2dad4dd4f4,11,True,"[(144, 408)]",144,408,58,155,144,144,552,552,144,552,144,552,144,552,144,552,144,552,144,552,144,552,144,552,144,552,144,552,144,552.0,144.0,552.0,144.0,552.0,144.0,552.0,144.0,1.0,1.0
1a6cdad3-1198-4caf-82b7-8e2dad4dd4f4,11,True,"[(408, 144)]",408,144,155,58,408,408,552,552,408,552,408,552,408,552,408,552,408,552,408,552,408,552,408,552,408,552,408,552,408,552.0,408.0,552.0,408.0,552.0,408.0,552.0,408.0,1.0,1.0
1ff50a55-3d1f-49c7-994f-525be60479ab,33,True,"[(55, 110), (64, 97)]",100,112,37,41,100,64,161,165,55,161,64,161,64,161,64,161,64,161,64,161,64,161,64,161,64,165,55,161,64,161.0,64.0,161.0,64.0,161.75,62.3125,161.0,64.0,1.0248447204968945,1.0
1ff50a55-3d1f-49c7-994f-525be60479ab,33,True,"[(110, 55), (97, 64)]",112,100,41,37,112,97,161,165,110,161,97,161,97,161,97,161,97,161,97,161,97,161,97,161,97,165,110,161,97,161.0,97.0,161.0,97.0,161.75,99.4375,161.0,97.0,1.0248447204968945,1.0
6061e03b-f33a-4c26-863e-88f3d952d1f0,11,False,"[(1852, 1907)]",1860,1916,499,505,1860,1852,3759,3759,1852,3759,1852,3759,1852,3759,1852,3759,1852,3759,1852,3759,1852,3759,1852,3759,1852,3759,1852,3759,1852,3759.0,1852.0,3759.0,1852.0,3759.0,1852.0,3759.0,1852.0,1.0,1.0
6061e03b-f33a-4c26-863e-88f3d952d1f0,11,False,"[(1907, 1852)]",1916,1860,505,499,1916,1907,3759,3759,1907,3759,1907,3759,1907,3759,1907,3759,1907,3759,1907,3759,1907,3759,1907,3759,1907,3759,1907,3759,1907,3759.0,1907.0,3759.0,1907.0,3759.0,1907.0,3759.0,1907.0,1.0,1.0
bd9026cc-f4ec-4959-a433-0c9712c6405c,67,True,"[(100, 100)]",100,100,28,19,100,104,153,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,1.3071895424836601,1.3071895424836601
bd9026cc-f4ec-4959-a433-0c9712c6405c,67,True,"[(100, 100)]",100,100,19,28,100,49,153,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,1.3071895424836601,1.3071895424836601
c3c541ea-14aa-4945-8b4c-95cf5af97fd0,45,True,"[(76, 143), (80, 135), (95, 106)]",122,188,36,52,122,95,201,219,76,201,95,201,95,201,95,201,95,219,76,215,80,201,95,215,80,219,76,201,95,218.66660000000002,76.33330000000001,201.0,95.0,209.507,85.8853,208.19310000000002,87.29310000000001,1.0895522388059702,1.0
